id,practice_type,interest_foreign_lang,interest_swedish,number_languages,time_free_choice,retrieval_cycle1,retrieval_cycle2,final_test
1,retrieval,5,3,5,300,30,70,80
2,retrieval,5,2,4,201,85,95,100
3,retrieval,3,4,4,202,45,60,80
4,retrieval,5,4,3,300,80,100,95
5,retrieval,5,5,3,248,15,40,80
6,retrieval,5,4,3,300,45,75,95
7,retrieval,1,1,2,96,35,50,60
8,retrieval,4,3,3,0,70,75,85
9,retrieval,3,2,2,0,25,50,60
10,retrieval,4,4,2,0,15,45,65
11,retrieval,4,3,2,156,45,50,70
12,retrieval,3,2,1,98,70,90,100
13,retrieval,1,2,1,0,20,55.00000000000001,65
14,retrieval,3,5,3,197,65,85,90
15,retrieval,2,2,1,0,30,70,85
16,retrieval,3,3,1,150,35,75,90
17,retrieval,3,2,3,0,30,60,75
18,retrieval,3,3,2,0,45,65,80
19,retrieval,3,4,2,192,20,40,75
20,retrieval,2,3,1,204,55.00000000000001,70,85
21,restudy,2,4,3,64,NA,NA,85
22,restudy,4,2,3,0,NA,NA,60
23,restudy,2,4,1,0,NA,NA,60
24,restudy,3,3,1,166,NA,NA,70
25,restudy,1,2,1,0,NA,NA,50
26,restudy,3,3,2,13,NA,NA,60
27,restudy,4,5,3,162,NA,NA,55.00000000000001
28,restudy,4,3,4,300,NA,NA,100
29,restudy,4,2,4,0,NA,NA,35
30,restudy,2,1,1,170,NA,NA,85
31,restudy,3,4,2,0,NA,NA,45
32,restudy,5,2,2,151,NA,NA,90
33,restudy,4,3,3,156,NA,NA,55.00000000000001
34,restudy,4,4,3,0,NA,NA,90
35,restudy,3,3,3,0,NA,NA,65
36,restudy,1,1,1,0,NA,NA,70
37,restudy,3,4,2,175,NA,NA,60
38,restudy,4,5,3,160,NA,NA,55.00000000000001
40,restudy,4,3,3,0,NA,NA,70
41,retrieval,4,4,2,214,70,90,100
42,retrieval,4,4,3,120,50,70,85
43,retrieval,5,5,3,300,65,75,95
44,retrieval,4,3,4,135,30,40,70
45,retrieval,2,1,1,170,40,55,75
46,retrieval,4,1,2,103,50,70,90
47,retrieval,5,3,3,86,35,50,65
48,retrieval,5,5,4,300,60,80,95
49,retrieval,3,4,2,34,65,80,85
50,retrieval,4,3,2,264,40,80,100
51,retrieval,4,3,3,290,20,35,50
52,retrieval,4,3,3,300,10,45,60
53,restudy,4,3,2,235,NA,NA,90
54,restudy,5,3,2,11,NA,NA,90
55,restudy,5,4,3,179,NA,NA,95
56,restudy,4,2,3,16,NA,NA,90
57,restudy,4,3,1,139,NA,NA,70
58,restudy,5,3,4,81,NA,NA,85
59,restudy,3,2,2,154,NA,NA,75
60,restudy,4,1,4,66,NA,NA,100
61,restudy,4,4,2,0,NA,NA,100
62,restudy,5,4,3,145,NA,NA,85
63,restudy,5,4,4,300,NA,NA,90
64,restudy,4,1,2,260,NA,NA,80
